Années;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;Total Entrées (millions)
1980;14,5;15,4;15,8;14,6;13,4;11,6;12,9;13,4;13,8;15,4;15,7;19,1;175,4
1981;16,1;15,8;15,3;14,7;13,7;11,9;13,5;14,6;16,3;18,0;18,2;21,1;189,2
1982;19,5;18,1;18,1;16,5;14,0;11,7;12,8;16,0;13,8;20,6;19,1;21,8;201,9
1983;18,5;17,3;19,1;18,4;15,8;11,3;11,3;14,3;14,4;19,5;18,9;20,0;198,9
1984;16,8;16,5;17,9;16,7;14,7;10,7;11,4;13,7;15,2;18,7;18,0;20,6;190,9
1985;13,5;15,0;17,5;15,4;12,3;10,8;10,9;13,1;14,2;17,7;16,1;18,6;175,1
1986;15,4;15,5;15,6;16,6;12,3;9,4;10,1;11,7;12,0;16,4;15,4;17,7;168,1
1987;12,8;14,7;13,5;12,9;9,2;9,2;8,0;9,6;9,5;12,3;11,8;13,4;136,9
1988;11,0;11,7;11,3;10,2;7,5;7,2;8,1;8,4;8,7;15,4;12,2;13,1;124,7
1989;11,8;11,4;12,0;11,7;7,2;6,7;7,1;8,9;8,6;11,9;10,7;12,9;120,9
1990;9,9;13,2;10,4;12,9;7,0;6,7;6,8;8,4;10,5;11,6;11,4;13,1;121,9
1991;10,3;10,9;11,3;10,8;9,1;7,1;6,5;8,8;8,6;12,7;10,9;10,5;117,5
1992;9,8;10,7;9,8;10,4;7,9;7,8;7,3;9,5;9,0;11,2;9,8;12,8;116,0
1993;10,9;11,7;10,8;11,3;9,4;9,3;8,7;9,2;9,8;16,4;11,8;13,5;132,7
1994;9,8;11,8;11,6;11,3;8,9;8,0;5,7;8,6;9,6;11,3;11,9;15,9;124,4
1995;12,0;13,9;10,9;11,7;7,8;8,4;6,4;9,2;8,5;14,0;12,1;15,4;130,2
1996;11,9;13,7;12,8;11,7;10,1;7,9;7,8;9,8;8,9;14,4;12,9;14,9;136,7
1997;10,8;12,5;13,1;12,5;12,4;11,1;9,1;11,3;8,6;13,9;17,2;16,9;149,3
1998;17,2;20,6;15,2;17,5;11,6;10,1;9,4;11,9;10,9;16,1;14,1;16,1;170,6
1999;12,7;18,3;12,6;11,7;8,6;11,4;9,4;12,4;9,7;14,4;14,5;17,9;153,6
2000;14,9;17,5;14,4;21,0;9,8;11,1;10,7;11,9;10,4;13,5;13,8;16,7;165,8
2001;16,5;22,5;18,1;17,3;10,7;10,9;11,9;13,7;12,6;15,0;14,1;24,3;187,5
2002;16,2;23,2;14,9;14,8;13,1;14,3;12,0;13,0;9,5;15,9;15,1;22,3;184,4
2003;14,2;19,0;15,7;12,4;14,1;10,7;9,9;13,4;10,9;14,4;17,3;21,4;173,5
2004;15,2;20,0;15,4;17,4;15,3;18,9;16,3;15,0;9,8;17,3;15,2;20,1;195,8
2005;14,3;16,8;14,3;15,6;13,9;12,4;14,4;12,5;8,4;14,6;14,7;23,9;175,6
2006;14,3;22,8;15,0;20,9;18,4;11,8;10,1;15,0;9,8;13,4;16,7;20,3;188,8
2007;15,4;19,7;17,5;12,3;15,9;13,5;16,2;16,3;9,4;11,6;13,1;17,6;178,5
2008;14,9;20,7;27,1;15,8;12,3;11,0;13,4;14,7;9,9;14,5;18,1;18,0;190,3
2009;15,2;19,0;17,9;17,4;15,0;11,2;20,7;15,2;10,5;15,7;21,2;22,6;201,6
2010;18,9;20,6;18,7;18,5;16,2;10,8;18,6;17,1;10,6;18,6;19,3;19,3;207,1
2011;14,6;21,7;17,0;13,8;15,7;14,6;20,1;17,4;11,3;19,0;26,6;25,3;217,2
2012;16,2;17,6;16,4;20,9;16,3;14,5;17,0;14,1;11,1;18,1;22,8;18,7;203,6
2013;14,6;14,4;19,1;16,6;17,2;13,8;13,7;14,9;10,2;17,7;18,4;23,1;193,7
2014;17,7;17,6;21,1;19,3;19,7;11,4;15,6;19,5;9,3;18,5;17,2;22,1;209,1
2015;16,8;22,5;17,5;18,0;14,3;12,2;18,3;15,2;9,5;19,5;17,3;24,2;205,4
2016;16,8;26,0;19,7;18,3;14,2;11,9;17,6;15,5;10,0;21,3;17,5;24,3;213,2
2017;16,6;24,9;19,4;19,4;13,0;11,6;17,9;16,2;11,3;18,0;17,3;23,8;209,4
2018;18,3;22,5;20,9;18,1;13,9;10,0;13,9;14,6;10,9;18,3;18,7;21,1;201,2
2019;18,3;22,0;18,8;18,1;15,5;12,5;18,3;16,1;11,2;19,9;20,4;22,2;213,2
2020;14,7;17,6;5,9;0,0;0,0;1,1;4,8;6,7;5,6;8,8;0,0;0,0;65,3
2021;0,0;0,0;0,0;0,0;3,5;8,6;14,3;11,3;9,3;14,3;14,1;20,2;95,5
2022;10,7;13,0;13,3;13,8;11,2;11,1;13,8;10,5;7,6;14,4;14,5;18,2;152,1
2023;14,8;18,0;15,8;18,6;13,8;10,2;18,3;15,4;9,0;14,0;15,2;17,4;180,4
2024;13,7;15,1;15,2;11,9;15,7;14,1;17,9;14,1;10,1;15,3;17,8;20,5;181,5
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
